run_name,epoch,split,loss,accuracy,f1,auc,prauc,rocpr_path,center_0_accuracy,center_0_f1,center_0_auc,center_0_prauc,center_3_accuracy,center_3_f1,center_3_auc,center_3_prauc,center_4_accuracy,center_4_f1,center_4_auc,center_4_prauc,seed,outlier_filter,data_fraction,precomputed_embeddings,embedding_precompute_allowed,resize_hw,adapter_enabled,adapter_cls,head_cls,backbone,use_center_balanced_batches,center_proportions,early_stopping_monitor,early_stopping_mode,early_stopping_patience
dinov2_vits14_norm_10pct_baseline,0,train,0.2558060190707445,0.8988,0.8990624376620786,0.9609261746448368,0.9671912538325873,,0.8623693379790941,0.8655700510493477,0.9427251389413479,0.9515736948659201,0.8905128205128205,0.8880733944954129,0.9530152407666642,0.9621559763346869,0.9205116491548653,0.9217625899280576,0.9758828188839804,0.9785503693800094,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,0,val,0.46226952585591574,0.794269340974212,0.7544459644322845,0.9074685181242559,0.9116670537393095,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_000.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,1,train,0.18722071907818316,0.9273,0.9269420158778012,0.9776443789277233,0.9813900240152633,,0.89198606271777,0.89198606271777,0.9599201424486052,0.9669816149832067,0.9217948717948717,0.9202614379084967,0.9743892108847365,0.9789435731526056,0.946094106898127,0.9464123524069028,0.9865620130890026,0.9884134023427765,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,1,val,0.5259356809669433,0.7785100286532951,0.7192154013803124,0.9201657480346004,0.9242547603774433,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_001.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,2,train,0.17295510772168637,0.9334,0.9331191002209279,0.98073319579302,0.9840528720288849,,0.8977932636469221,0.8981481481481481,0.9624669508444397,0.96949225274962,0.9317948717948717,0.9303664921465968,0.9795345113831719,0.9829341071615093,0.9488350845134764,0.9492063492063492,0.9879564896593541,0.9899917919475897,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,2,val,0.4420857662377564,0.8180515759312321,0.7811099620820406,0.9359737105638746,0.9396356811038828,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_002.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,3,train,0.16310096243917943,0.9365,0.936238578170499,0.9827671795787516,0.9857018527896654,,0.9030197444831591,0.9030760301799188,0.9665542545729241,0.9726093629301915,0.9335897435897436,0.9325345141964053,0.982822875167094,0.9855368468571598,0.9522613065326633,0.9524675915396862,0.9880760877846066,0.9901274860256388,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,3,val,0.4957137963390105,0.805730659025788,0.7588904694167852,0.9338463348026189,0.9395155319750822,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_003.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,4,train,0.1548304142013192,0.9426,0.9423347398030942,0.9843022677191156,0.9870484314457761,,0.9111498257839721,0.9105786090005844,0.9701451464954405,0.975686842930283,0.9425641025641026,0.9418181818181818,0.9836578523755036,0.9864448518934799,0.9550022841480128,0.9551559298884589,0.989596424162161,0.9913357556330874,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,4,val,0.4221077555254714,0.8263610315186246,0.7930327868852459,0.9397839309041494,0.944598316943094,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_004.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,5,train,0.15167612672001124,0.9422,0.942049328253459,0.984928627361754,0.9875300256738255,,0.913472706155633,0.9136231884057971,0.9716532671450924,0.9767651706625822,0.9402564102564103,0.939307111226882,0.9842675829763533,0.9869680253310699,0.9552306989492919,0.9555555555555556,0.989893436609341,0.9915297039049265,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,5,val,0.4591376316567806,0.8186246418338109,0.7843270868824531,0.9326494189882167,0.9360804947649424,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_005.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,6,train,0.1484769722342491,0.9412,0.9410112359550562,0.9856865511302435,0.9880557488993073,,0.9088269454123112,0.9086678301337987,0.9715305131387255,0.9771079191483681,0.94,0.9393468118195957,0.9853838225861467,0.9877189856651134,0.9550022841480128,0.9551355044409019,0.9905728291009581,0.991932798618667,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,6,val,0.39322804486948876,0.8438395415472779,0.8183938687104299,0.9420328709946197,0.9471007384727799,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_006.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,7,train,0.14614324651882052,0.9425,0.9423327650185538,0.9857863542600696,0.9883864534937914,,0.9099883855981417,0.9094097019286966,0.9725273835860357,0.9776915877106771,0.9433333333333334,0.942612308491301,0.9856694242391648,0.9882861012726639,0.9545454545454546,0.954865048763892,0.9902442995212943,0.9919490168264398,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,7,val,0.46294137266502805,0.8226361031518624,0.7863306869175009,0.9401068977571709,0.9445364792762725,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_007.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,8,train,0.14251710146665572,0.947,0.9468618407860437,0.9864828961036217,0.9889204661812616,,0.9210220673635308,0.92046783625731,0.9737899962229536,0.9787586389338061,0.9474358974358974,0.9469873286785622,0.9862561436571056,0.9886837210117216,0.9568296025582458,0.9570161473732091,0.9908639973116512,0.9924404931827491,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,8,val,0.4412155254875824,0.8318051575931232,0.7993162393162393,0.9421330794281613,0.9478940630901795,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_008.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,9,train,0.14272971689999103,0.9461,0.9459540760052141,0.9865793791293296,0.9887382299471045,,0.9146341463414634,0.9138840070298769,0.9740368531808127,0.97846891722245,0.9453846153846154,0.9447757324345346,0.9866314231772316,0.9887953038747148,0.959113750571037,0.959401224767521,0.9906214614974395,0.992010141522698,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,9,val,0.4361663977424168,0.8303724928366762,0.8004045853000674,0.9386011428361155,0.9428060329658592,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_009.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,10,train,0.13915385479331016,0.9467,0.9465449804432855,0.987154037150605,0.9893310229900377,,0.9198606271777003,0.919392523364486,0.9759010953434415,0.9800515512989213,0.9466666666666667,0.9460300985988583,0.9877291223482243,0.9897867791705975,0.957286432160804,0.9575482406356414,0.9903547138463529,0.9919552872911299,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
dinov2_vits14_norm_10pct_baseline,10,val,0.3582491140183248,0.8570200573065903,0.8391878826941669,0.9415446423643146,0.9468422032564358,runs/dinov2_vits14_norm_10pct_baseline/seed_0/curves/val_epoch_010.npz,,,,,,,,,,,,,0,False,0.1,True,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
