run_name,epoch,split,loss,accuracy,f1,auc,prauc,rocpr_path,center_0_accuracy,center_0_f1,center_0_auc,center_0_prauc,center_3_accuracy,center_3_f1,center_3_auc,center_3_prauc,center_4_accuracy,center_4_f1,center_4_auc,center_4_prauc,seed,outlier_filter,data_fraction,precomputed_embeddings,resize_hw,adapter_enabled,adapter_cls,head_cls,backbone,use_center_balanced_batches,center_proportions,early_stopping_monitor,early_stopping_mode,early_stopping_patience
virchow2_clsmean_r98_norm,0,train,0.03027724605326599,0.99058,0.990600678507284,0.9991000459768902,0.9991512725570755,,0.9904820905609372,0.9905263747967935,0.9989845132739152,0.9991569300014108,0.9906853132418206,0.9907004302017054,0.9991321230467481,0.999211924219148,0.9905261221486387,0.9905422156925761,0.9991071938304633,0.9990665194070188,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,0,val,0.07569027418605984,0.9805752922301169,0.9804779729340628,0.9951558628915911,0.9961057006821563,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_000.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,1,train,0.02346464020467447,0.99303,0.993053686927577,0.9995124839616896,0.9995387625473295,,0.9918337463392656,0.9918753852188043,0.9993977979929307,0.9994661412079554,0.9940138301166271,0.994033535644481,0.999573098147607,0.9996035524974798,0.9926416482707874,0.9926622334326989,0.999504831204789,0.9995128085924847,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,1,val,0.10621127295966162,0.9757047902819161,0.9752798507462687,0.9950099747086656,0.9958878680401487,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_001.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,2,train,0.021364567434224855,0.99378,0.9938020646498466,0.9996316212681877,0.9996508908792664,,0.9932417211083577,0.9932788170718047,0.9996558963490604,0.9996812729609384,0.994710496439261,0.994728857576303,0.9996162912627307,0.9996591654673315,0.9931705298013245,0.9931897915663479,0.9996275605781324,0.9996193243559415,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,2,val,0.09395396294605532,0.9761345404538162,0.9760156632403328,0.9937913264759621,0.9952076365693957,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_002.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,3,train,0.019955038100324674,0.994,0.9940230709461478,0.9996710016305916,0.9996886076220375,,0.9929601261545393,0.9930046449157759,0.9996328930888272,0.9996527032463514,0.9947879038084425,0.9948071979434447,0.9996794337967695,0.9997152518546485,0.9937224061810155,0.993740972556572,0.9996670797070786,0.9996656869738388,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,3,val,0.09672043493316283,0.9775097410038964,0.9773638224862309,0.9938746416680092,0.9952851904680409,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_003.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,4,train,0.0193362845452271,0.99458,0.9946013785409777,0.9996651783178524,0.9996923434191979,,0.9940301869790493,0.9940662785490372,0.9996331912557415,0.9996722318304596,0.995226545567138,0.995245315993729,0.9996743738720679,0.9997248135317448,0.9942282928623988,0.9942461545514981,0.999646806708018,0.999645375097092,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,4,val,0.10443533672232153,0.9732981893192757,0.973315008875909,0.9941558409066636,0.9952854524696204,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_004.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,5,train,0.018479955083386408,0.99445,0.9944713956986463,0.9997335986424697,0.9997482707926653,,0.9934669970714125,0.993509400179051,0.9996997268854505,0.9997163715662232,0.9953297553927134,0.9953474025139449,0.9997487507705034,0.9997743500352629,0.9940673289183223,0.9940841970099973,0.9997261505943261,0.9997286486320177,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,5,val,0.11226294241344924,0.9772232408892964,0.97687407278122,0.9959336305903901,0.9964865319315226,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_005.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,6,train,0.017568972412210133,0.99464,0.9946612482320365,0.9997573575024413,0.9997700803932714,,0.9943117819328677,0.9943496503496504,0.9996902680158951,0.9997185046819609,0.9952523480235318,0.9952701660583003,0.9997961729174301,0.9998104155587116,0.9942282928623988,0.9942458907406982,0.9997457531144401,0.9997489165422124,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,6,val,0.0996946461082023,0.9780540912216364,0.9778599919070466,0.9946132101361389,0.9957154671261704,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_006.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,7,train,0.017085403045872662,0.99476,0.994780668552532,0.9997748128403766,0.9997767151851847,,0.9944244199143951,0.9944584382871536,0.9997823952484121,0.9997808228089595,0.995226545567138,0.995245315993729,0.9997800836884381,0.9998011413334719,0.9944812362030905,0.9944981889872083,0.9997582119669146,0.999740991360966,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,7,val,0.09671032748788295,0.9773664909465963,0.9772045244690674,0.9952376710523226,0.9960667588420478,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_007.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,8,train,0.016631436336469733,0.99484,0.9948612743242974,0.9997685011181816,0.9997559698983273,,0.9940865059698131,0.9941258741258742,0.9997724415486586,0.9997905059584395,0.9954329652182888,0.9954518590847188,0.9997525936501583,0.9997251101038968,0.9946192052980133,0.994635734262528,0.999782805007768,0.9997780227603124,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,8,val,0.11805531262465323,0.9780827412330965,0.9778087198677226,0.994815017717435,0.995786168038742,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_008.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,9,train,0.015814065494846385,0.99523,0.9952496190732276,0.9998113853484203,0.9998199905074896,,0.9949876098220319,0.995019864585082,0.9997760195516292,0.9997823620806101,0.9957167922386211,0.9957333059168252,0.9998177561594004,0.9998378530385574,0.9948951434878587,0.9949124576038134,0.9998171400865631,0.9998180119924094,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,9,val,0.1264545223010402,0.9768794407517764,0.9764866991055039,0.9955611787997639,0.9964383400146202,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_009.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,10,train,0.0158212210004591,0.99507,0.9950891033878214,0.9998036855993532,0.9998128204916088,,0.9945933768866861,0.9946272666218939,0.9998140009413192,0.9998240103824966,0.9959748168025596,0.9959905417908913,0.9998019984886325,0.9998172101874122,0.9944582413539367,0.9944741246875931,0.999798339180079,0.99980270081228,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
virchow2_clsmean_r98_norm,10,val,0.09723052215547792,0.975045840018336,0.9751277877723522,0.9955692294332842,0.9963550596590772,runs/virchow2_clsmean_r98_norm/seed_0/curves/val_epoch_010.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,virchow2_clsmean,False,,val_loss,min,10
