run_name,epoch,split,loss,accuracy,f1,auc,prauc,rocpr_path,center_0_accuracy,center_0_f1,center_0_auc,center_0_prauc,center_3_accuracy,center_3_f1,center_3_auc,center_3_prauc,center_4_accuracy,center_4_f1,center_4_auc,center_4_prauc,seed,outlier_filter,data_fraction,precomputed_embeddings,resize_hw,adapter_enabled,adapter_cls,head_cls,backbone,use_center_balanced_batches,center_proportions,early_stopping_monitor,early_stopping_mode,early_stopping_patience
baseline,0,train,0.17630238375641405,0.93364,0.9332125603864734,0.9795584034506909,0.9830487334162307,,0.9136629871592701,0.9152054870291498,0.9728538183413634,0.9778940305977164,0.9242181855712663,0.9228789748706772,0.9750155685227933,0.9794480658085035,0.9501931567328918,0.9498587897587851,0.9873667806980033,0.9894309600374483,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,0,val,0.32683117769438325,0.8621934448773779,0.8579276937618148,0.9408475515882757,0.9452047317741133,runs/baseline/seed_0/curves/val_epoch_000.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,1,train,0.15531012510851025,0.94173,0.9414953965401259,0.9839860421697765,0.9866914283271703,,0.9228993016445145,0.9241088752148123,0.9774866977906405,0.9815110531624895,0.9342811435648674,0.9334691638586318,0.9809165419242099,0.9842475784767222,0.9560568432671082,0.9558425953739862,0.989699080842316,0.9914085141149757,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,1,val,0.32182867084838973,0.8649438459775384,0.8686542212315408,0.943239187303124,0.9491932301177183,runs/baseline/seed_0/curves/val_epoch_001.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,2,train,0.15080121542792768,0.94322,0.9429885334457899,0.9848932553334233,0.9873990655683408,,0.9223361117368777,0.9234271753012383,0.9776684907926374,0.9817785134763191,0.9361647228816183,0.9354451518630623,0.9820379131156548,0.9851080869065897,0.9580344002943341,0.9578141975451331,0.9905069254849074,0.9919708783766964,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,2,val,0.3980517301291883,0.8460921384368554,0.8296117736615072,0.9374782416197632,0.9432231031141216,runs/baseline/seed_0/curves/val_epoch_002.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,3,train,0.1478949719176814,0.94424,0.9440081939228405,0.9853720460028106,0.9878399525033892,,0.9247578283397162,0.9257530287873735,0.9786578657098088,0.9825757955298596,0.9376354628960677,0.9368978931154218,0.9826226180407797,0.9856215768277696,0.9580803899926417,0.9578876850932108,0.9906794194131175,0.9922171346668359,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,3,val,0.34724421885357976,0.8650584460233784,0.8568737085207244,0.9412594816894446,0.9478150575995157,runs/baseline/seed_0/curves/val_epoch_003.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,4,train,0.146393018678613,0.94516,0.9449408646412722,0.9856880463205768,0.9880794758465816,,0.9239693624690245,0.9249082211591946,0.9786751911107181,0.9825227223196695,0.9395964495820002,0.9389553834519805,0.9832204334971182,0.9860840133515378,0.9587702354672554,0.9585673021374927,0.9907608371309938,0.992308272457763,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
baseline,4,val,0.3219784386473086,0.8702154480861792,0.8700218064960404,0.9431640196017298,0.9476564955960853,runs/baseline/seed_0/curves/val_epoch_004.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,dinov2_vits14,False,,val_loss,min,10
