run_name,epoch,split,loss,accuracy,f1,auc,prauc,rocpr_path,center_0_accuracy,center_0_f1,center_0_auc,center_0_prauc,center_3_accuracy,center_3_f1,center_3_auc,center_3_prauc,center_4_accuracy,center_4_f1,center_4_auc,center_4_prauc,seed,outlier_filter,data_fraction,precomputed_embeddings,resize_hw,adapter_enabled,adapter_cls,head_cls,backbone,use_center_balanced_batches,center_proportions,early_stopping_monitor,early_stopping_mode,early_stopping_patience
uni2_h_r98_norm,0,train,0.03088908369270619,0.99085,0.9908625183498607,0.9990751442947935,0.9991982731230153,,0.9900878576255914,0.9901123595505618,0.9988732716390039,0.9990703676908735,0.9900918567447621,0.9900903225806451,0.999156766211604,0.9992430092636356,0.9918368285504047,0.9918553697203295,0.9990967665080461,0.9992190491974594,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,0,val,0.07425630496015678,0.9779108411643365,0.9775421630596254,0.9963956620953952,0.9968158996213845,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_000.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,1,train,0.021651677202708088,0.99297,0.9929888599666896,0.9995489260672086,0.9995927626649261,,0.991946384320793,0.9919793594705255,0.9993801173293152,0.9994851877109575,0.9928785220352978,0.9928924598269468,0.9995868172013439,0.9996271291413786,0.9934694628403238,0.9934874334984407,0.9995766961839841,0.9996040139341883,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,1,val,0.07533310695423183,0.9773378409351364,0.9770011339516762,0.995579240192503,0.9961470115837611,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_001.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,2,train,0.019230214826767334,0.99379,0.993808512547483,0.9996533094880717,0.9996819277458044,,0.9930727641360667,0.9931042215619218,0.9995920188456715,0.9996508974328586,0.9941944473113841,0.9942077487450123,0.9996619424360117,0.999702641219854,0.9937224061810155,0.993740972556572,0.9996683656730075,0.9996802573464802,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,2,val,0.08104653473862163,0.9760772404308962,0.975776739868295,0.9946366856784195,0.9954780670911179,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_002.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,3,train,0.018140636206867348,0.99415,0.9941694158452353,0.999691085019406,0.9997196256506632,,0.9932980400991214,0.9933329598296823,0.9995769074926998,0.9996415557910804,0.9944524718753225,0.9944671762011374,0.9996676841189887,0.999714379825122,0.9942282928623988,0.9942464183381089,0.9997491816518923,0.9997572521400245,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,3,val,0.09251860733136569,0.9740144396057758,0.9735560803521969,0.9942348123025658,0.9952128060040606,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_003.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,4,train,0.0172141346678845,0.99446,0.9944771209251321,0.9997402835718899,0.9997587479908621,,0.9936359540437035,0.9936691131155807,0.9997154599481582,0.9997419093653814,0.9946330890700795,0.9946463502522392,0.9997305137366317,0.9997618409660092,0.9946422001471671,0.9946570662019308,0.999757353246245,0.9997639830870301,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,4,val,0.07924547820874953,0.9761918404767362,0.9759666830552101,0.9946609295111745,0.9955661129165482,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_004.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,5,train,0.01669634769291355,0.99455,0.9945684130796599,0.9997481681245347,0.9997689038192787,,0.9934669970714125,0.9935021286130405,0.9997278560790175,0.999758207210448,0.9949943234595934,0.9950095179297217,0.9997271222555224,0.9997625971076424,0.9945962104488595,0.9946116983468232,0.9997716067403157,0.9997794871680994,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,5,val,0.08457260701441148,0.9752463900985561,0.9749898685810224,0.9941694682127106,0.9951626130306981,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_005.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,6,train,0.015989544674849605,0.99491,0.994926387767511,0.9997666832829885,0.9997846655315954,,0.9939175489975219,0.9939489018377409,0.9997359129296782,0.9997672044188024,0.9953297553927134,0.9953428534671298,0.9997520690158603,0.9997846665010852,0.9949411331861663,0.9949552854849805,0.9997943258242399,0.9997994646420532,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,6,val,0.08252466602783852,0.9759626403850562,0.9757198668788887,0.9947705373105759,0.9955375625189586,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_006.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,7,train,0.015687482978290354,0.99487,0.9948866184899078,0.9997824489882123,0.9998019986668171,,0.9948749718405047,0.9949033884066087,0.9997533842420562,0.9997863966707748,0.9951491381979565,0.9951623694097061,0.9997697348108645,0.999800923707893,0.9946192052980133,0.9946340121078702,0.9997989673575147,0.9998065371543,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,7,val,0.08391090976458877,0.9759912903965161,0.9756918257237338,0.9949008544782194,0.9956770337626026,runs/uni2_h_r98_norm/seed_0/curves/val_epoch_007.npz,,,,,,,,,,,,,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
uni2_h_r98_norm,8,train,0.015359503014003203,0.99486,0.9948786417440516,0.9997923265794425,0.9998081747837478,,0.9939175489975219,0.9939549983208329,0.9997544754060828,0.999784442207681,0.9954071627618949,0.9954222816582656,0.9997842754365857,0.999811309483255,0.994757174392936,0.9947723208144174,0.9998086575761057,0.9998128649065601,0,False,,True,98x98,False,,DefaultBinaryHead,uni2_h,False,,val_loss,min,10
